Profile ID,Organization Name,Membership Level Name,Primary Listing Category,Profile County,Resolved County,Profile Zip Code,is_active,is_dup_by_address,is_additional_listing_tier,is_non_covered_category,is_in_county,is_tier_a,is_tier_b
1015,Natalia's,Additional Listing - Cornerstone (Unpaid),Restaurants & Catering,Bibb,Bibb,31210,True,False,True,False,True,True,True
1022,"NewTown Macon, Inc.",Community Advocate,Business & Economic Development,Bibb,Bibb,31201,True,False,False,False,True,True,True
1036,Ocmulgee Mounds National Historical Park,Basic Membership,"Arts, Entertainment & Attractions",Bibb,Bibb,31217,True,False,False,False,True,True,True
1039,"NBP Engineers, Inc.",Business Catalyst,"Architects, Engineers & Planners",Bibb,Bibb,31210,True,False,False,False,True,True,True
1068,"H2 Capital, Inc.",Basic Membership,Financial Services,Bibb,Bibb,31208,True,False,False,False,True,True,True
1069,"Panaprint, Inc.",Basic Membership,"Signage, Promotional & Printing Services",Bibb,Bibb,31216,True,True,False,False,True,True,True
1077,The Peyton Anderson Foundation,Regional Influencer,Foundations,Bibb,Bibb,31201,True,False,False,False,True,True,True
1090,"Piedmont Construction Group, Inc.",Business Catalyst,Construction & Building Services,Bibb,Bibb,31210,True,False,False,False,True,True,True
1094,Pilot International,Basic Membership,Non-Profit Organizations,Bibb,Bibb,31210,True,False,False,False,True,True,True
1109,Freudenberg Performance Materials Macon,Economic Driver,"Industrial, Manufacturing & Logistics",Bibb,Bibb,31206,True,False,False,False,True,True,True
1117,Prince Service & Manufacturing,Regional Influencer,"Industrial, Manufacturing & Logistics",Bibb,Bibb,31216,True,False,False,False,True,True,True
1122,Public Service Telephone Co.,Business Catalyst,Utilities & Internet Service Providers,Taylor,Taylor,31076,True,False,False,False,False,True,True
1127,"Pyles Plumbing & Utility Contractors, Inc.",Economic Driver,Electrical & Plumbing Services,Bibb,Bibb,31204,True,False,False,False,True,True,True
1137,"Raffield Tire Masters, Inc.",Business Catalyst,Automotive,Bibb,Bibb,31210,True,False,False,False,True,True,True
